x1,y1,x2,y2,x3,y3,d12,d23,d13,v1,v2,v3
-0.988502,-0.999963,0.988823,-0.389615,0.974114,-0.359258,0.978259,0.700523,0.959140,0.065352,0.116380,0.589623
-0.988042,-0.999960,0.988375,-0.387757,0.973105,-0.356702,0.977942,0.701324,0.958397,0.066690,0.116640,0.588913
-0.987573,-0.999958,0.987918,-0.385900,0.972078,-0.354152,0.977620,0.702132,0.957641,0.068027,0.116905,0.588192
-0.987095,-0.999956,0.987453,-0.384044,0.971034,-0.351610,0.977292,0.702946,0.956872,0.069366,0.117174,0.587460
-0.986608,-0.999953,0.986978,-0.382189,0.969972,-0.349075,0.976957,0.703767,0.956089,0.070704,0.117449,0.586717
-0.986111,-0.999950,0.986495,-0.380334,0.968893,-0.346547,0.976617,0.704593,0.955294,0.072043,0.117728,0.585963
-0.985606,-0.999948,0.986003,-0.378480,0.967797,-0.344028,0.976270,0.705425,0.954486,0.073381,0.118012,0.585198
-0.985092,-0.999945,0.985502,-0.376627,0.966683,-0.341515,0.975917,0.706262,0.953665,0.074720,0.118300,0.584423
-0.984569,-0.999942,0.984993,-0.374775,0.965553,-0.339011,0.975558,0.707102,0.952831,0.076060,0.118594,0.583638
-0.984037,-0.999939,0.984474,-0.372923,0.964405,-0.336515,0.975193,0.707947,0.951985,0.077399,0.118892,0.582843
-0.983495,-0.999935,0.983947,-0.371073,0.963241,-0.334026,0.974822,0.708795,0.951125,0.078739,0.119195,0.582037
-0.982945,-0.999932,0.983410,-0.369223,0.962060,-0.331546,0.974445,0.709645,0.950253,0.080080,0.119502,0.581222
-0.982386,-0.999929,0.982865,-0.367374,0.960862,-0.329073,0.974062,0.710498,0.949369,0.081420,0.119815,0.580398
-0.981818,-0.999925,0.982312,-0.365526,0.959648,-0.326609,0.973672,0.711352,0.948472,0.082761,0.120132,0.579563
-0.981240,-0.999922,0.981749,-0.363679,0.958418,-0.324154,0.973277,0.712208,0.947562,0.084102,0.120453,0.578720
-0.980654,-0.999918,0.981177,-0.361832,0.957171,-0.321706,0.972875,0.713064,0.946640,0.085443,0.120780,0.577867
-0.980059,-0.999914,0.980597,-0.359987,0.955908,-0.319268,0.972467,0.713921,0.945706,0.086785,0.121111,0.577005
-0.979455,-0.999910,0.980008,-0.358142,0.954629,-0.316838,0.972054,0.714778,0.944759,0.088127,0.121447,0.576134
-0.978841,-0.999906,0.979410,-0.356299,0.953335,-0.314417,0.971634,0.715633,0.943801,0.089469,0.121787,0.575254
-0.978219,-0.999902,0.978803,-0.354456,0.952024,-0.312004,0.971208,0.716488,0.942830,0.090811,0.122132,0.574366
-0.977588,-0.999897,0.978187,-0.352614,0.950698,-0.309601,0.970776,0.717340,0.941847,0.092154,0.122481,0.573470
-0.976948,-0.999893,0.977562,-0.350774,0.949357,-0.307206,0.970337,0.718191,0.940852,0.093497,0.122836,0.572565
-0.976298,-0.999888,0.976929,-0.348934,0.948000,-0.304821,0.969893,0.719038,0.939844,0.094841,0.123194,0.571652
